retweeted_url,RP(H),retweets_count
https://thestar.com/politics/provincial/2019/10/16/trudeau-liberals-set-to-back-new-ontario-line-subway.html,-0.55,2
https://press-presse.liberal.ca/fact-check/fact-check-scheer-misleads-in-winnipeg-about-his-plan-to-weaken-gun-laws/,-0.55,39
https://cbc.ca/news/politics/election-day-what-you-need-to-know-1.5328369,-0.54,7
https://cbc.ca/news/canada/thunder-bay/trudeau-indigenous-health-care-1.5297959?cmp=rss,-0.54,6
https://liberal.ca/international-day-of-the-girl-statement-by-the-leader-of-the-liberal-party/,-0.54,142
https://liberal.ca/in-their-own-words-in-leaders-debate-justin-trudeau-presents-his-plan-to-move-canada-forward-2/,-0.52,21
https://press-presse.liberal.ca/fact-check/conservatives-will-cut-investments-in-small-craft-harbours-across-atlantic-canada/,-0.52,23
https://2019.liberal.ca/our-platform/,-0.51,6
https://press-presse.liberal.ca/fact-check/conservatives-will-make-deep-cuts-to-the-middle-class-cut-taxes-for-the-wealthy/,-0.51,65
https://cbc.ca/news/politics/scheer-injection-sites-terrible-1.5294321?cmp=rss,-0.5,2
https://cbc.ca/news/politics/the-house-atlantic-canada-election-1.5300789?cmp=rss,-0.5,2
https://cbc.ca/news/business/peter-armstrong-taxes-federal-election-2019-1.5299707?cmp=rss,-0.5,2
https://huffingtonpost.ca/entry/what-is-wexit-western-separation_ca_5db2317ae4b0b9ba5c48e1dd?ncid=tweetlnkcahpmg00000002,-0.5,2
https://cp24.com/news/toronto-and-surrounding-area-key-to-liberal-electoral-victory-1.4649113,-0.5,2
https://nationalpost.com/pmn/news-pmn/canada-news-pmn/manning-centre-a-primary-backer-for-series-of-proud-facebook-pages/wcm/545c38dd-6c88-45de-b990-bf78ad3688eb/,-0.5,2
https://cbc.ca/news/politics/navy-mouldy-mattresses-1.5313558?cmp=rss,-0.5,2
https://tvanouvelles.ca/2019/10/22/donald-trump-felicite-justin-trudeau,-0.5,2
https://cbc.ca/news/politics/greens-indigenous-reconciliation-election-1.5310561?cmp=rss,-0.5,4
https://torontosun.com/news/national/15-youth-to-sue-feds-for-climate-change-harms/wcm/1bcd33b6-d54b-4f82-a6f0-940735df8163?utm_medium=social&utm_source=twitter#echobox=1572005158,-0.5,2
https://cbc.ca/news/politics/liberal-conservative-ndp-green-climate-change-election-2019-1.5298193?cmp=rss,-0.5,2
https://cbc.ca/news/technology/ice-free-arctic-1.5291966?cmp=rss,-0.5,3
https://princegeorgecitizen.com/federal-election-2019/election-2019-gets-underway-with-polls-closing-in-newfoundland-and-labrador-1.23983660,-0.5,2
https://journaldequebec.com/2019/10/21/les-liberaux-de-quebec-satisfaits,-0.5,2
https://huffingtonpost.ca/entry/andrew-scheer-ms-13_ca_5d9e4e4de4b087efdba77f7d?ncid=other_twitter_cooo9wqtham&utm_campaign=share_twitter,-0.49,10
https://election.ctvnews.ca/re-elected-liberal-government-would-stand-up-for-abortion-rights-in-n-b-trudeau-1.4638414,-0.49,10
https://press-presse.liberal.ca/fact-check/scheers-infrastructure-cuts-will-cancel-1-2-billion-for-the-quebec-city-tramway/,-0.49,119
https://press-presse.liberal.ca/fact-check/fact-check-liberals-stood-up-for-canadian-energy-workers/,-0.49,38
https://press-presse.liberal.ca/fact-check/fact-check-scheer-falsely-claims-asylum-seekers-are-queue-jumping/,-0.49,86
https://huffingtonpost.ca/entry/scheer-defends-coalition-gst-claim_ca_5da9ebdce4b04c4d24ec0247?ncid=tweetlnkcahpmg00000002,-0.49,16
https://cp24.com/video?clipid=1807978&binid=1.1127680&playlistpagenum=1,-0.49,522
https://election.ctvnews.ca/gun-control-activists-say-liberal-party-has-best-platform-1.4639444,-0.48,120
https://huffingtonpost.ca/entry/obama-trudeau-endorsement_ca_5da73ee9e4b02253a2fc47bf?ncid=tweetlnkcahpmg00000002,-0.48,192
https://election.ctvnews.ca/debrief-at-the-desk-lisa-laflamme-speaks-with-ndp-leader-jagmeet-singh-1.4643746?utm_campaign=trueanthem%3a+trending+content&utm_content=5daa08498021ed000131d2b9&utm_medium=trueanthem&utm_source=twitter,-0.48,3
https://secure.liberal.ca/event/halton-rally,-0.48,144
https://liberal.ca/in-their-own-words-in-leaders-debate-justin-trudeau-presents-his-plan-to-move-canada-forward/,-0.48,18
https://thestar.com/opinion/contributors/2019/09/26/why-canada-needs-a-green-new-deal.html,-0.48,2
https://globalnews.ca/news/6066060/trudeau-selfies-papineau/?utm_medium=twitter&utm_source=%40globalnews,-0.48,4
https://press-presse.liberal.ca/fact-check/where-is-scheers-fiscal-plan-andrew-scheer-doug-ford-wont-make-infrastructure-investments/,-0.47,48
https://press-presse.liberal.ca/fact-check/scheer-campaigns-in-toronto-with-candidate-who-pledged-to-really-shift-the-nation-on-abortion/,-0.47,84
https://bramptonguardian.com/news-story/9651917-pro-life-group-recruiting-staff-for-new-mps/,-0.47,6
https://press-presse.liberal.ca/fact-check/fact-check-scheer-wont-stand-up-to-big-oil/,-0.46,112
https://lapresse.ca/elections-federales/201910/17/01-5245840-trudeau-sadresse-a-des-partisans-a-montreal.php?utm_source=dlvr.it&utm_medium=twitter,-0.46,2
https://cbc.ca/news/canada/british-columbia/do-celebrity-endorsements-turn-into-votes-on-election-day-1.5324473?cmp=rss,-0.46,11
http://globalnews.ca/news/6037999/scheer-us-travel-us-passport/,-0.46,14
https://cp24.com/video?clipid=68597,-0.46,7
https://montreal.ctvnews.ca/ecole-polytechnique-survivors-praise-liberal-gun-control-proposals-1.4639244,-0.46,40
https://globalnews.ca/news/6086551/election-defeat-mps-grieving/?utm_medium=twitter&utm_source=%40globalnews,-0.46,5
https://cbc.ca/news/canada/british-columbia/syrian-refugees-citizens-election-1.5319183?cmp=rss,-0.46,8
https://cbc.ca/news/politics/scheer-abortion-pro-life-1.5307415,-0.45,19
https://cbc.ca/news/business/september-jobs-report-54000-1.5317636?cmp=rss,-0.45,7
https://press-presse.liberal.ca/fact-check/fact-check-scheer-is-wrong-on-taxes-liberals-lowered-taxes-for-middle-class-canadians/,-0.45,51
https://cp24.com/news/liberal-party-wins-federal-election-1.4647440,-0.45,38
https://huffingtonpost.ca/entry/canada-election-2019_ca_5dade601e4b0f34e3a7a79fd?tu,-0.45,3
https://cbc.ca/news/politics/jim-carr-cancer-1.5334899?cmp=rss,-0.45,7
