collection_name,retweeted_url,retweets_count,RP(H)
collection_0001,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/21/editorial-new-york-times-bolsonaro-escolha-triste-do-brasil.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,1549,-0.519216091406122
collection_0002,https://oantagonista.com/?p=123030,1313,0.637866224403433
collection_0003,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/10/haddad-chama-bolsonaro-para-debate-e-diz-que-vai-ate-enfermaria-se-precisar.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,1172,-0.432150076005192
collection_0004,https://g1.globo.com/rn/rio-grande-do-norte/noticia/2018/10/09/medica-do-rn-rasga-receita-apos-paciente-idoso-dizer-que-votou-em-haddad-para-presidente.ghtml?utm_source=twitter&utm_medium=social&utm_campaign=g1,1103,-0.344341833925794
collection_0005,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/10/22/apos-fala-de-filho-de-bolsonaro-sobre-stf-eymael-anuncia-apoio-a-haddad.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,983,-0.521476755274804
collection_0006,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/09/goulart-apoio-haddad-ptb-voto-bolsonaro.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,966,-0.450635385118858
collection_0007,https://g1.globo.com/politica/eleicoes/2018/noticia/2018/10/26/tse-da-prosseguimento-a-acao-de-bolsonaro-que-pede-para-haddad-ser-declarado-inelegivel.ghtml?utm_source=twitter&utm_medium=social&utm_campaign=g1,965,0.507840657435868
collection_0008,https://revistaforum.com.br/pm-faz-post-a-favor-de-haddad-alguem-que-apoia-a-tortura-nao-merece-meu-respeito/,930,-0.798722574647753
collection_0009,https://oglobo.globo.com/fato-ou-fake/e-fake-que-haddad-disse-logo-apos-1-turno-que-vai-fazer-lula-ser-presidente-do-brasil-23141928?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo,901,-0.368943463733985
collection_0010,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/16/em-manifesto-juristas-dizem-que-so-haddad-pode-garantir-democracia-no-pais.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,822,-0.532444550337272
collection_0011,https://lula.com.br/plano-de-governo-haddad-e-lula-baixe-aqui-as-propostas-para-trazer-o-pais-de-volta-para-o-futuro/,817,-0.787176305867723
collection_0012,https://noticias.uol.com.br/politica/eleicoes/2018/candidatos/fernando-haddad-pt/?utm_source=twitter&utm_medium=social-media&utm_campaign=uol&utm_content=geral,738,-0.531174045797085
collection_0013,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/24/ibope-capital-sao-paulo-haddad-bolsonaro.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,728,-0.507542984199054
collection_0014,http://haddadpresidente.com.br/doe,716,-0.818862852746956
collection_0015,https://g1.globo.com/rn/rio-grande-do-norte/noticia/2018/10/09/medica-do-rn-rasga-receita-apos-paciente-idoso-dizer-que-votou-em-haddad-para-presidente.ghtml,698,-0.338784901756936
collection_0016,https://revistaforum.com.br/blogdorovai/2018/10/18/globo-se-submete-a-censura-de-bolsonaro-e-nao-repercute-denuncia-da-folha/,656,-0.8017534867726
collection_0017,https://oantagonista.com/?p=122290,640,0.629483270951909
collection_0018,https://oglobo.globo.com/fato-ou-fake/e-fake-que-haddad-criou-kit-gay-que-camara-realizou-seminario-lgbt-infantil-23197396,635,-0.0998834843678112
collection_0019,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/18/medico-diz-que-bolsonaro-evolui-bem-mas-nao-cita-liberacao-para-debates.htm?utm_source=chrome&utm_medium=webalert&utm_campaign=politica,633,-0.753149649849266
collection_0020,"https://correiobraziliense.com.br/app/noticia/politica/2018/10/11/interna_politica,712172/bolsonaro-transformara-o-brasil-em-venezuela-diz-pesquisadora.shtml",625,-0.449254143120738
collection_0021,https://theguardian.com/world/2018/oct/18/brazil-jair-bolsonaro-whatsapp-fake-news-campaign?cmp=share_btn_tw,606,-0.798659122397049
collection_0022,https://lula.com.br/arrancada-haddad-cresce-6-pontos-em-minas-e-3-em-sao-paulo/,592,-0.737234084610478
collection_0023,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/10/19/aumenta-acao-de-robos-pro-bolsonaro-no-twitter.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,589,-0.454970321912243
collection_0024,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/14/bolsonaro-pessoas-com-deficiencia-estatuto-haddad-mentira-fake-news.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,588,0.413464444607498
collection_0025,https://f5.folha.uol.com.br/celebridades/2018/09/opositora-ao-pt-regina-duarte-critica-movimento-elenao-e-da-indicios-de-apoio-a-bolsonaro.shtml?utm_campaign=uol&utm_source=twitter&utm_content=geral&utm_medium=social-media,572,0.309656111291542
collection_0026,https://noticias.uol.com.br/politica/eleicoes/2018/ao-vivo/2018/10/26/eleicoes-2018---2-turno.htm?c=card_-2146302580_1540737983398&utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,572,0.512238515972179
collection_0027,https://valor.com.br/u/5920771,547,-0.479754232152648
collection_0028,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/12/universal-rebate-haddad-edir-macedo.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,542,0.374403325211546
collection_0029,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/23/mae-marcos-vinicius-morto-mare-ato-haddad-critica-bolsonaro.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,541,-0.559987089628694
collection_0030,https://oglobo.globo.com/fato-ou-fake/e-fake-cartaz-atribuido-haddad-que-diz-que-projeto-de-lei-torna-pedofilia-um-ato-legal-23154593?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo,535,-0.465262924108032
collection_0031,https://lula.com.br/haddad-e-boulos-juntos-e-ao-lado-do-povo-brasileiro/,523,-0.796564929070756
collection_0032,https://haddadpresidente.com.br/doe,512,-0.801356982374675
collection_0033,https://revistaforum.com.br/bol%e5%8d%90onaro-postagens-que-associam-bolsonaro-ao-nazismo-dominam-o-twitter/,468,-0.722563304036378
collection_0034,https://noticias.uol.com.br/comprova/ultimas-noticias/2018/10/23/haddad-nao-cancelou-aula-na-usp-para-comemorar-queda-das-torres-gemeas.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,468,-0.530243932754329
collection_0035,https://noticias.uol.com.br/politica/eleicoes/2018/ao-vivo/2018/10/26/eleicoes-2018---2-turno.htm?c=card_-876888407_1540749529498&utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,448,-0.540791894787478
collection_0036,https://lula.com.br/diretor-do-datafolha-confirma-fraude-no-whatsapp-influenciou-o-resultado-das-eleicoes/,444,-0.804117098803829
collection_0037,https://epoca.globo.com/como-funciona-maquina-de-whatsapp-que-pode-eleger-bolsonaro-23180627,439,-0.660097077600989
collection_0038,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/10/transexual-agredida-rio-apoiadores-bolsonaro.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,439,-0.39943089359326
collection_0039,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/18/advogados-apoio-haddad-contra-bolsonaro-e-barbarie.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,436,-0.505776646430524
collection_0040,https://obrasilfelizdenovo.com/ditadura-brilhante-ustra-bolsonaro-lambe-botas-lixo-estrume/,430,-0.775069716459862
collection_0041,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/29/manifestantes-pro-bolsonaro-sao-xingados-e-expulsos-de-campus-da-unb.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,430,0.098850350897541
